"Iteration","Ux_up1: Ux_up1 (m/s)","Ux_up2: Ux_up2 (m/s)","Ux_up3: Ux_up3 (m/s)","Ux_up4: Ux_up4 (m/s)","Ux_up5: Ux_up5 (m/s)","Ux_down1: Ux_down1 (m/s)","Ux_down2: Ux_down2 (m/s)","Ux_down3: Ux_down3 (m/s)","Ux_down4: Ux_down4 (m/s)","Ux_down5: Ux_down5 (m/s)"
136.0,1.9999996546537404,1.999998196376505,,,,2.00001651810259,2.000006191935731,2.0000038375223212,2.000003469563965,2.0000032846839644
137.0,1.9999994606504143,1.9999981113920358,,,,2.0000162767667,2.0000059753232216,2.000003718192298,2.0000033794972105,2.0000032042342704
138.0,1.999999277223502,1.9999980448517731,,,,2.0000160368909397,2.0000057666639326,2.0000036024255823,2.0000032975350015,2.000003129989138
139.0,1.9999990915048163,1.9999979641031724,,,,2.000015799036661,2.000005557167059,2.000003485025726,2.0000032105667183,2.0000030521216186
140.0,1.9999989158375555,1.9999979016376552,,,,2.000015563352401,2.0000053550273087,2.000003371411102,2.0000031313255304,2.000002980176666
141.0,1.9999987378670494,1.999997824305181,,,,2.000015329487111,2.000005151469451,2.0000032565513415,2.0000030466872425,2.0000029041578067
142.0,1.9999985698173575,1.999997764994277,,,,2.000015097969787,2.00000495554698,2.000003146566078,2.000002969961095,2.000002834067555
143.0,1.9999983993777624,1.9999976913825015,,,,2.0000148685535266,2.000004758476541,2.0000030356769813,2.000002887427492,2.0000027597977126
144.0,1.9999982386208919,1.9999976350734203,,,,2.0000146416028968,2.000004568599531,2.000002929647845,2.000002812405371,2.0000026912958018
145.0,1.9999980746140118,1.9999975635628653,,,,2.000014416751511,2.000004377597834,2.0000028214530423,2.000002731304366,2.000002618286277
146.0,1.9999979200688096,1.999997510075369,,,,2.0000141942526253,2.0000041940095024,2.0000027178180204,2.00000265782334,2.000002551165994
147.0,1.9999977614793172,1.9999974400411338,,,,2.0000139735906455,2.0000040095726015,2.00000261247162,2.0000025780070367,2.0000024793426956
148.0,1.9999976115232287,1.9999973880327278,,,,2.0000137551181423,2.000003831975138,2.0000025106328607,2.0000025050244292,2.000002412699471
149.0,1.9999974601744792,1.9999973224749064,,,,2.000013538170008,2.000003653056058,2.000002406182049,2.0000024253262985,2.0000023408574643
150.0,1.999997316646568,1.9999972735212173,,,,2.0000133235667894,2.0000034812545073,2.0000023069404,2.000002353741758,2.0000022754248725
151.0,1.9999971710603646,1.9999972105646302,,,,2.0000131105922634,2.0000033086481266,2.0000022068096155,2.0000022772475488,2.0000022064569256
152.0,1.9999970332207329,1.9999971640418073,,,,2.000012900133898,2.000003142255507,2.000002109996242,2.0000022064857412,2.000002141917383
153.0,1.9999968922730398,1.9999971026640269,,,,2.0000126905942404,2.0000029732405116,2.0000020104031657,2.0000021289004586,2.000002071848984
154.0,1.9999967589524665,1.9999970585323517,,,,2.000012483717246,2.0000028105640437,2.0000019143579553,2.000002058469692,2.0000020072844444
155.0,1.9999966224491812,1.9999969999346798,,,,2.000012278376487,2.000002646273725,2.0000018177878522,2.000001982789686,2.000001938715554
156.0,1.9999964930591567,1.9999969581225563,,,,2.000012076056441,2.0000024887619343,2.0000017254328775,2.0000019144428283,2.0000018761604648
157.0,1.999996361549646,1.9999969032601181,,,,2.0000118751566984,2.0000023297590275,2.0000016324504015,2.0000018415982725,2.0000018103114066
158.0,1.999996236755237,1.9999968643206523,,,,2.0000116770519982,2.000002176664361,2.000001542695876,2.0000017747298116,2.000001749229618
159.0,1.9999961093317469,1.9999968116479796,,,,2.0000114797420663,2.000002020735839,2.0000014496597536,2.000001701184728,2.000001682551338
160.0,1.9999959887690457,1.9999967746941807,,,,2.000011285241124,2.000001870663186,2.000001360911003,2.000001634959817,2.000001621750081
161.0,1.9999958651477934,1.999996723656055,,,,2.0000110920801566,2.000001718647449,2.000001270558011,2.0000015635478325,2.0000015570171827
162.0,1.9999957487263005,1.9999966886168554,,,,2.0000109017200094,2.000001572165465,2.000001183882622,2.000001498000644,2.000001497199494
163.0,1.9999956295646293,1.9999966395572113,,,,2.000010712646045,2.0000014236713213,2.000001095955005,2.000001428401382,2.0000014343367463
164.0,1.9999955171652286,1.9999966062870624,,,,2.000010526357789,2.0000012805509293,2.000001011186518,2.000001364139287,2.000001375666219
165.0,1.999995403578201,1.9999965607465642,,,,2.000010340763906,2.0000011344047994,2.000000923587228,2.0000012944523524,2.00000131256739
166.0,1.99999529563398,1.999996528719771,,,,2.0000101579088634,2.000000993644032,2.0000008404649328,2.000001231870759,2.0000012549372927
167.0,1.9999951861552951,1.9999964841687676,,,,2.000009976179195,2.000000850889019,2.0000007556147663,2.0000011640355893,2.0000011934327144
168.0,1.999995082788595,1.999996453790056,,,,2.00000979704857,2.0000007134999453,2.0000006740173935,2.0000011020617023,2.0000011364560804
169.0,1.9999949786736955,1.9999964124212606,,,,2.00000961906244,2.0000005746054867,2.0000005913739103,2.0000010357309033,2.000001076339156
170.0,1.9999948796112774,1.999996383156385,,,,2.0000094436071203,2.0000004407574545,2.0000005118031874,2.0000009748330063,2.000001020454702
171.0,1.9999947802515639,1.9999963447395879,,,,2.00000926903365,2.000000305078336,2.0000004306928036,2.000000909294413,2.000000961094349
172.0,1.9999946852763586,1.9999963173579731,,,,2.000009096871571,2.0000001745279943,2.0000003530960995,2.0000008502363253,2.0000009069301865
173.0,1.9999945900066873,1.9999962805726494,,,,2.0000089250855875,2.0000000412060883,2.000000272479797,2.0000007848243513,2.0000008477187636
174.0,1.9999944994359644,1.9999962552353332,,,,2.0000087553193424,1.9999999135429407,2.00000019597277,2.0000007268958417,2.0000007943687703
175.0,1.9999944077061103,1.999996220029422,,,,2.00000858635757,1.9999997837655534,2.000000116378555,2.0000006615282695,2.0000007350670304
176.0,1.999994321307094,1.9999961956450725,,,,2.0000084198165444,1.9999996579218484,2.000000040668882,2.0000006041100664,2.0000006821020295
177.0,1.9999942340701176,1.999996161538559,,,,2.0000082543589315,1.9999995321094595,1.999999965173244,2.0000005434096253,2.000000626918341
178.0,1.9999941509604016,1.9999961384160017,,,,2.0000080907686355,1.999999411243723,1.9999998922087585,2.0000004877366155,2.0000005759915247
179.0,1.9999940680722181,1.9999961087111822,,,,2.000007927627202,1.9999992869945393,1.9999998154967662,2.000000424793865,2.000000519191251
180.0,1.9999939893144616,1.9999960874725864,,,,2.0000077669018776,1.9999991665244323,1.9999997430612704,2.0000003700146243,2.0000004689287474
181.0,1.9999939097405983,1.9999960569578428,,,,2.0000076067714625,1.9999990444956515,1.9999996688093515,2.0000003095163263,2.000000414074676
182.0,1.9999938339920271,1.9999960375872892,,,,2.0000074479208987,1.9999989274108692,1.9999995973302431,2.0000002551433687,2.000000364140947
183.0,1.9999937585540066,1.9999960109665098,,,,2.0000072900183916,1.999998807943089,1.9999995232476222,2.00000019425147,2.000000308974325
184.0,1.9999936876056024,1.999995992982765,,,,2.000007134561563,1.9999986922189634,1.9999994536175194,2.0000001411119777,2.0000002601822855
185.0,1.9999936163377803,1.9999959661618623,,,,2.000006979640658,1.9999985753259217,1.999999383134882,2.0000000833525102,2.0000002077723646
186.0,1.9999935491537837,1.9999959498880695,,,,2.00000682639652,1.9999984637975308,1.9999993155525138,2.000000031464637,2.0000001600347144
187.0,1.999993481982142,1.9999959261334423,,,,2.0000066739233477,1.9999983501020862,1.9999992456284814,1.9999999738289809,2.0000001077717426
188.0,1.9999934190333213,1.9999959108535954,,,,2.000006523859228,1.9999982408026495,1.9999991798318664,1.9999999233616887,2.000000061151849
