"Iteration","Uz_up1: Uz_up1 (m/s)","Uz_up2: Uz_up2 (m/s)","Uz_up3: Uz_up3 (m/s)","Uz_up4: Uz_up4 (m/s)","Uz_up5: Uz_up5 (m/s)","Uz_down1: Uz_down1 (m/s)","Uz_down2: Uz_down2 (m/s)","Uz_down3: Uz_down3 (m/s)","Uz_down4: Uz_down4 (m/s)","Uz_down5: Uz_down5 (m/s)"
59.0,1.6801231591094648E-4,7.229476985277092E-5,,,,2.3091421418599997E-4,1.5773654066703435E-4,6.079926528788402E-5,2.4500880405095726E-5,8.058933614843317E-6
60.0,1.6651324800928772E-4,7.175373896735859E-5,,,,2.2952117953294244E-4,1.5709549824817107E-4,6.061093665373774E-5,2.4428608038746692E-5,8.032925825295735E-6
61.0,1.6505821276511883E-4,7.119776849738823E-5,,,,2.2816316658247335E-4,1.564676925123368E-4,6.039745345831942E-5,2.433847092053442E-5,8.000578897146084E-6
62.0,1.635640975719657E-4,7.065209444473975E-5,,,,2.2679600953164387E-4,1.5582630238728735E-4,6.0203424208847296E-5,2.4266033026001646E-5,7.975143342040835E-6
63.0,1.6211044504481782E-4,7.008873041053252E-5,,,,2.2545276398888245E-4,1.5518951017367636E-4,5.998527050015695E-5,2.4175638753214392E-5,7.943912972486014E-6
64.0,1.606255978392292E-4,6.954081716253777E-5,,,,2.240978008955722E-4,1.5454034801662989E-4,5.97845861671703E-5,2.409968086328374E-5,7.919018533692166E-6
65.0,1.5918354317189459E-4,6.897875438710238E-5,,,,2.227668695983187E-4,1.5389953987710183E-4,5.956873190165148E-5,2.4012740685910446E-5,7.88960031358126E-6
66.0,1.5771170570417738E-4,6.843464574917744E-5,,,,2.2142942770066057E-4,1.5324517792744718E-4,5.9365346482031724E-5,2.3936629486618066E-5,7.865439382119064E-6
67.0,1.5628416099312576E-4,6.787481797960966E-5,,,,2.2011470043848032E-4,1.5259986852237124E-4,5.9150231984711356E-5,2.3852763040041526E-5,7.837066906850297E-6
68.0,1.5482654754344103E-4,6.73334480391713E-5,,,,2.1879475817023403E-4,1.5193773619147014E-4,5.8938092849664376E-5,2.3773557983122232E-5,7.811315121857374E-6
69.0,1.5341285990209524E-4,6.677330067527681E-5,,,,2.174929441370828E-4,1.5127910083540747E-4,5.871357106512616E-5,2.3687202788540523E-5,7.781866861743161E-6
