"Iteration","Uy_up1: Uy_up1 (m/s)","Uy_up2: Uy_up2 (m/s)","Uy_up3: Uy_up3 (m/s)","Uy_up4: Uy_up4 (m/s)","Uy_up5: Uy_up5 (m/s)","Uy_down1: Uy_down1 (m/s)","Uy_down2: Uy_down2 (m/s)","Uy_down3: Uy_down3 (m/s)","Uy_down4: Uy_down4 (m/s)","Uy_down5: Uy_down5 (m/s)"
45.0,1.0706776178589909E-14,2.0345158971603628E-15,,,,7.975078013638688E-15,-8.069702841261477E-15,2.0159090465045824E-15,-8.74296284373027E-16,7.765908862419707E-16
46.0,1.0706764339715065E-14,2.0345146955798995E-15,,,,7.975064794003306E-15,-8.069708951076488E-15,2.0159086859566314E-15,-8.742966936962334E-16,7.765912832981223E-16
47.0,1.0706752151274992E-14,2.0345129916813358E-15,,,,7.975053364427225E-15,-8.069714909974838E-15,2.0159082236872617E-15,-8.742971071412299E-16,7.765916574566486E-16
48.0,1.0706740183454917E-14,2.03451139325718E-15,,,,7.97504300483747E-15,-8.069719664814968E-15,2.0159080154146466E-15,-8.742973904248586E-16,7.765920064947597E-16
49.0,1.0706728550850774E-14,2.0345098679554067E-15,,,,7.975033793244603E-15,-8.069724350175655E-15,2.0159077174478295E-15,-8.74297765504361E-16,7.76592306298319E-16
50.0,1.0706716260962461E-14,2.034508142862242E-15,,,,7.975024880716288E-15,-8.06972765027954E-15,2.0159075887826394E-15,-8.742980308960594E-16,7.765926241855344E-16
51.0,1.07067045608335E-14,2.034506664415643E-15,,,,7.975016853922488E-15,-8.069730753073964E-15,2.0159073769033972E-15,-8.742983353894831E-16,7.765928662355655E-16
52.0,1.0706692402942623E-14,2.034504986177652E-15,,,,7.975008691440784E-15,-8.069733531893774E-15,2.0159072631027356E-15,-8.742985438425371E-16,7.765931290675578E-16
53.0,1.070668017478769E-14,2.034503671824694E-15,,,,7.97500094176582E-15,-8.069735206636236E-15,2.0159070128285217E-15,-8.742988089211312E-16,7.765933458360738E-16
54.0,1.0706668867616947E-14,2.034502044394239E-15,,,,7.974992902326215E-15,-8.069736766671315E-15,2.0159068399417377E-15,-8.742989892965552E-16,7.765935207958469E-16
55.0,1.0706656768416305E-14,2.0345003396862536E-15,,,,7.974984919408436E-15,-8.069737903189924E-15,2.0159066475443394E-15,-8.742991710344193E-16,7.765937512707629E-16
56.0,1.0706644745593184E-14,2.034498734570646E-15,,,,7.97497631350859E-15,-8.069738636509966E-15,2.0159064780175853E-15,-8.742992943484934E-16,7.765939079094466E-16
57.0,1.0706633149973721E-14,2.034497138076158E-15,,,,7.97496775030556E-15,-8.069739095845832E-15,2.015906242610927E-15,-8.742995019637756E-16,7.765940760696949E-16
58.0,1.0706621273810293E-14,2.0344956365052896E-15,,,,7.974958553066116E-15,-8.069739269239742E-15,2.0159060470275062E-15,-8.742995678483848E-16,7.765942055640292E-16
59.0,1.0706608953676689E-14,2.034493917294155E-15,,,,7.974949456470032E-15,-8.069739258666335E-15,2.0159057715751557E-15,-8.742997388758812E-16,7.765943246892044E-16
60.0,1.0706597203719253E-14,2.0344921268903056E-15,,,,7.974939644985052E-15,-8.069738728885401E-15,2.0159054805040203E-15,-8.742998094958067E-16,7.765944744492852E-16
61.0,1.0706585276552929E-14,2.0344906900234863E-15,,,,7.974929930522223E-15,-8.069738380995237E-15,2.015905114415835E-15,-8.742999227807335E-16,7.765945695347597E-16
62.0,1.0706573170612897E-14,2.0344889470814464E-15,,,,7.974919729456766E-15,-8.069737448707927E-15,2.015904780013986E-15,-8.742999740235839E-16,7.765946781043727E-16
63.0,1.0706561359235048E-14,2.0344871131681488E-15,,,,7.974909528929023E-15,-8.069736253092629E-15,2.015904352703636E-15,-8.743000687015134E-16,7.765947484321326E-16
64.0,1.070654905406761E-14,2.0344854374664617E-15,,,,7.974898841361668E-15,-8.069735202719806E-15,2.0159039055581897E-15,-8.743001150186482E-16,7.76594840873077E-16
65.0,1.0706537460874422E-14,2.0344839735230125E-15,,,,7.974888193097999E-15,-8.06973422473188E-15,2.0159034132871176E-15,-8.743001782122242E-16,7.765949018487107E-16
66.0,1.0706525297192107E-14,2.0344823011670517E-15,,,,7.974877261635285E-15,-8.069732449481936E-15,2.015902865189441E-15,-8.743001793637239E-16,7.765949747062887E-16
67.0,1.0706513857545424E-14,2.0344806168442453E-15,,,,7.97486636234181E-15,-8.069730802062008E-15,2.0159023212179325E-15,-8.74300188936521E-16,7.765950420675175E-16
68.0,1.070650198200792E-14,2.034478882523325E-15,,,,7.974855231161204E-15,-8.069728921376509E-15,2.0159017015127417E-15,-8.743001849168945E-16,7.765950912533602E-16
69.0,1.070649069912549E-14,2.0344773223332237E-15,,,,7.974844157641789E-15,-8.069727373025764E-15,2.0159010746951132E-15,-8.743001978964147E-16,7.765951287949167E-16
70.0,1.0706478765219775E-14,2.034475599776363E-15,,,,7.97483279558812E-15,-8.069725237372416E-15,2.01590041602728E-15,-8.743001933182737E-16,7.765951688508949E-16
71.0,1.0706467028110662E-14,2.0344740830957097E-15,,,,7.974821540349927E-15,-8.069723260523191E-15,2.0158997333080392E-15,-8.743001882493116E-16,7.765951940250852E-16
72.0,1.0706455803435432E-14,2.0344722695675907E-15,,,,7.974810103330632E-15,-8.069721120580021E-15,2.0158990163141674E-15,-8.743001527114849E-16,7.765952467704307E-16
73.0,1.0706444103458422E-14,2.034470764044361E-15,,,,7.974798835976377E-15,-8.069718942823698E-15,2.0158983125116264E-15,-8.74300129314783E-16,7.765952689626932E-16
74.0,1.070643288536157E-14,2.0344692011151687E-15,,,,7.974787355761737E-15,-8.069716547220497E-15,2.0158975869212628E-15,-8.743001197220678E-16,7.765952891516829E-16
75.0,1.0706421485751774E-14,2.0344677107017246E-15,,,,7.974776086531079E-15,-8.069714483259863E-15,2.0158968415109393E-15,-8.743000789242568E-16,7.765953164059033E-16
76.0,1.0706410513180097E-14,2.034465938753386E-15,,,,7.974764659547251E-15,-8.069712073622338E-15,2.0158960860230976E-15,-8.743000512830596E-16,7.765953349646508E-16
77.0,1.070639922771038E-14,2.0344644781556617E-15,,,,7.974753347623754E-15,-8.069709732079886E-15,2.0158953374057894E-15,-8.743000146958969E-16,7.765953497850783E-16
78.0,1.0706388264147885E-14,2.03446296542737E-15,,,,7.974741975312858E-15,-8.069707308408036E-15,2.0158945679410305E-15,-8.742999603056626E-16,7.765953650169153E-16
79.0,1.070637741182975E-14,2.034461345808613E-15,,,,7.974730771524322E-15,-8.069704730221883E-15,2.015893787931595E-15,-8.742999188266315E-16,7.76595379402951E-16
80.0,1.0706366687683499E-14,2.0344598322708994E-15,,,,7.974719327959E-15,-8.069702515817264E-15,2.0158930150255157E-15,-8.742998773476004E-16,7.765953831272471E-16
81.0,1.070635591817384E-14,2.0344582865839466E-15,,,,7.974708107848703E-15,-8.069699691715584E-15,2.0158922257362562E-15,-8.742998312898048E-16,7.765953990541161E-16
82.0,1.0706345412520684E-14,2.034456923446146E-15,,,,7.974696818274736E-15,-8.069697249719585E-15,2.0158914381547923E-15,-8.74299780987514E-16,7.765954072871491E-16
83.0,1.070633524773201E-14,2.034455412647523E-15,,,,7.974685742017431E-15,-8.069694734064076E-15,2.0158906471426014E-15,-8.742997395084826E-16,7.7659541643241E-16
84.0,1.0706324683871652E-14,2.034453882070356E-15,,,,7.974674453066718E-15,-8.069692265383792E-15,2.015889855154048E-15,-8.742996799809694E-16,7.765954142119408E-16
85.0,1.0706314304268009E-14,2.0344524424644465E-15,,,,7.97466337918773E-15,-8.069689754600532E-15,2.015889026115047E-15,-8.742996211008289E-16,7.765954294961804E-16
86.0,1.0706304556886876E-14,2.034450958742453E-15,,,,7.974652263053253E-15,-8.069687094175225E-15,2.0158882365869105E-15,-8.742995744845186E-16,7.765954167557832E-16
87.0,1.0706294660850502E-14,2.0344495277576635E-15,,,,7.974641365730008E-15,-8.069684419715593E-15,2.0158874318245715E-15,-8.742995148343002E-16,7.76595431964638E-16
88.0,1.0706284330449407E-14,2.0344481858144643E-15,,,,7.974630283760859E-15,-8.069682077480958E-15,2.015886638117628E-15,-8.742994506941752E-16,7.765954239501732E-16
89.0,1.0706274871990966E-14,2.034446551692558E-15,,,,7.97461944517833E-15,-8.069679403021326E-15,2.015885822867793E-15,-8.74299395779273E-16,7.765954312479962E-16
90.0,1.0706265075881259E-14,2.034445252449385E-15,,,,7.974608486435417E-15,-8.069676906272391E-15,2.0158850213033578E-15,-8.742993229385938E-16,7.765954304265494E-16
91.0,1.0706255203076538E-14,2.0344439726739305E-15,,,,7.97459781343607E-15,-8.069674181932077E-15,2.0158842339982748E-15,-8.7429927235704525E-16,7.765954351154759E-16
92.0,1.0706245758523077E-14,2.034442589150951E-15,,,,7.974586993921682E-15,-8.069671571387453E-15,2.015883435879701E-15,-8.742992078149578E-16,7.765954130510003E-16
93.0,1.0706236553385857E-14,2.034441160702466E-15,,,,7.974576422897534E-15,-8.069669228460634E-15,2.0158826139800473E-15,-8.74299148689407E-16,7.76595432768592E-16
94.0,1.0706227178048857E-14,2.034439895227375E-15,,,,7.974565742344468E-15,-8.06966668183102E-15,2.01588180481516E-15,-8.742990711134113E-16,7.765954202977931E-16
95.0,1.0706217831895961E-14,2.0344384717974782E-15,,,,7.974555307867272E-15,-8.069664221620624E-15,2.015880990540175E-15,-8.742990468789372E-16,7.765954182051114E-16
96.0,1.0706208734476923E-14,2.0344371426845648E-15,,,,7.974544747034742E-15,-8.06966155134106E-15,2.015880200263957E-15,-8.742989784054586E-16,7.765954225350308E-16
97.0,1.070619978449999E-14,2.0344357549524186E-15,,,,7.974534426291056E-15,-8.069659123379387E-15,2.015879401679738E-15,-8.74298900952168E-16,7.765954189539182E-16
98.0,1.0706190786538174E-14,2.0344344989618884E-15,,,,7.974524058265122E-15,-8.069656635792528E-15,2.0158785903308157E-15,-8.742988415473596E-16,7.765954118516813E-16
99.0,1.0706181838243822E-14,2.0344331204574976E-15,,,,7.974513825028589E-15,-8.069653919922103E-15,2.01587782031318E-15,-8.742987795125593E-16,7.765954213636474E-16
100.0,1.0706173473125914E-14,2.0344320115211552E-15,,,,7.974503597699001E-15,-8.069651514464644E-15,2.0158770264943657E-15,-8.742987241956942E-16,7.765954067758122E-16
101.0,1.07061645585985E-14,2.0344306092858593E-15,,,,7.97449352583155E-15,-8.069649222110693E-15,2.0158762304869747E-15,-8.742986492496906E-16,7.765954024549632E-16
102.0,1.0706156164144534E-14,2.034429269878964E-15,,,,7.974483461990645E-15,-8.069646994363932E-15,2.015875440953541E-15,-8.742985986681424E-16,7.76595407630684E-16
103.0,1.0706147688877637E-14,2.0344281796009186E-15,,,,7.974473535198341E-15,-8.069644401451272E-15,2.015874650099807E-15,-8.742985433512773E-16,7.765953880997202E-16
104.0,1.0706139443391873E-14,2.034426909107239E-15,,,,7.974463590575054E-15,-8.06964184565958E-15,2.015873870010708E-15,-8.742984685279791E-16,7.765953998705336E-16
105.0,1.070613117530038E-14,2.0344256165555176E-15,,,,7.974453766287123E-15,-8.069639627074895E-15,2.0158730579235426E-15,-8.742984198063444E-16,7.765953843257663E-16
106.0,1.0706122897886743E-14,2.034424481095161E-15,,,,7.97444390836383E-15,-8.069636988461622E-15,2.015872294165961E-15,-8.742983689793855E-16,7.765953845583586E-16
107.0,1.0706114944380404E-14,2.034423338943353E-15,,,,7.974434207034241E-15,-8.06963483797201E-15,2.015871509315997E-15,-8.742982786148918E-16,7.765953775225481E-16
108.0,1.0706106957263608E-14,2.0344220829528228E-15,,,,7.974424483849294E-15,-8.06963241012009E-15,2.015870742233506E-15,-8.742982298932572E-16,7.765953645956353E-16
109.0,1.0706098928588358E-14,2.034420867678632E-15,,,,7.97441490423666E-15,-8.06963004050899E-15,2.0158699516171354E-15,-8.742981772063846E-16,7.76595377562299E-16
110.0,1.0706091286918877E-14,2.0344197314088532E-15,,,,7.974405284224036E-15,-8.069627926557919E-15,2.015869193357904E-15,-8.742981001550567E-16,7.76595377511269E-16
111.0,1.070608331676379E-14,2.0344185892570456E-15,,,,7.97439575281147E-15,-8.069625438971059E-15,2.0158684278766346E-15,-8.742980472227734E-16,7.765953697357223E-16
112.0,1.070607575163737E-14,2.034417394368033E-15,,,,7.974386326593223E-15,-8.069623320147738E-15,2.0158676578726214E-15,-8.742979836073166E-16,7.765953693703893E-16
113.0,1.0706068079257679E-14,2.0344162742742672E-15,,,,7.974376870495519E-15,-8.069620937194496E-15,2.0158668857566686E-15,-8.742979107666372E-16,7.765953590523728E-16
114.0,1.0706060632702215E-14,2.03441511761931E-15,,,,7.974367475234923E-15,-8.069618754456166E-15,2.0158661554963427E-15,-8.74297871270225E-16,7.765953544172212E-16
115.0,1.0706053170711144E-14,2.0344139048814227E-15,,,,7.974358237505926E-15,-8.069616658137061E-15,2.015865383456212E-15,-8.742978076547683E-16,7.765953540518883E-16
116.0,1.070604581307309E-14,2.0344128807775034E-15,,,,7.974349023242612E-15,-8.069614321576616E-15,2.0158646366819737E-15,-8.742977570732199E-16,7.765953518838218E-16
117.0,1.070603865986667E-14,2.034411855000721E-15,,,,7.974339827516359E-15,-8.069612230129764E-15,2.0158638965784658E-15,-8.742976999302879E-16,7.765953446397738E-16
118.0,1.0706031073508668E-14,2.0344107788211145E-15,,,,7.974330752567686E-15,-8.069609947630069E-15,2.0158631179081923E-15,-8.742976295968957E-16,7.76595353837437E-16
119.0,1.0706024198063733E-14,2.0344096442241986E-15,,,,7.974321726105876E-15,-8.069607760711671E-15,2.0158623806946997E-15,-8.742975788926421E-16,7.765953358255845E-16
120.0,1.0706017055397128E-14,2.0344084757037887E-15,,,,7.974312747934033E-15,-8.069605860317659E-15,2.0158616590555612E-15,-8.742975131718609E-16,7.765953380027214E-16
121.0,1.0706010020448705E-14,2.0344075076827987E-15,,,,7.974303854147313E-15,-8.069603609484253E-15,2.0158609141206645E-15,-8.742974385051145E-16,7.765953418765268E-16
122.0,1.0706002692459673E-14,2.0344064835788794E-15,,,,7.97429505673479E-15,-8.069601377557426E-15,2.0158601790498616E-15,-8.742973921680618E-16,7.76595332546123E-16
123.0,1.0705996251540471E-14,2.0344054149541647E-15,,,,7.974286246043166E-15,-8.069599431572552E-15,2.0158594781620563E-15,-8.742973306579291E-16,7.765953245980848E-16
124.0,1.0705989256467921E-14,2.034404367119341E-15,,,,7.974277598990379E-15,-8.069597144892789E-15,2.0158587440533766E-15,-8.742972918088902E-16,7.765953421935744E-16
125.0,1.0705982398297657E-14,2.0344033208559865E-15,,,,7.974268951731852E-15,-8.069595112488691E-15,2.0158579997621197E-15,-8.742972193701735E-16,7.765953254222763E-16
126.0,1.0705976078688654E-14,2.034402459982267E-15,,,,7.974260338840653E-15,-8.069593308368159E-15,2.015857309495571E-15,-8.742971867926782E-16,7.765953329679754E-16
127.0,1.0705969039157398E-14,2.03440131392461E-15,,,,7.97425183640782E-15,-8.069591289998388E-15,2.0158565737053753E-15,-8.742971300178623E-16,7.765953215959198E-16
128.0,1.0705962584489698E-14,2.0344002825691157E-15,,,,7.974243388401463E-15,-8.06958912627639E-15,2.0158558467105778E-15,-8.742970771638553E-16,7.765953152334194E-16
129.0,1.0705956260454344E-14,2.0343993847294943E-15,,,,7.974234989096744E-15,-8.069587262420919E-15,2.0158551450530805E-15,-8.742970159774092E-16,7.76595302275826E-16
