"Iteration","Torque (Turbine-01) Monitor: Torque (Turbine-01) Monitor (N-m)"
3880.0,451394.3522616525
3881.0,451394.3522607658
3882.0,451394.35226160905
3883.0,451394.35226402583
3884.0,451394.3522677159
3885.0,451394.35227238777
3886.0,451394.3522777123
3887.0,451394.3522832748
3888.0,451394.3522887328
3889.0,451394.352293791
3890.0,451394.3522981909
3891.0,451394.3523017774
3892.0,451394.35230450303
3893.0,451394.35230500065
3894.0,451394.35230428417
3895.0,451394.35230250726
3896.0,451394.3522999117
3897.0,451394.352296767
3898.0,451394.3522933184
3899.0,451394.3522898384
3900.0,451394.35228654847
3901.0,451394.35228358826
3902.0,451394.35228107614
3903.0,451394.35227908904
3904.0,451394.3522776471
3905.0,451394.3522767627
3906.0,451394.35227641184
3907.0,451394.35227659025
3908.0,451394.3522772315
3909.0,451394.35227824294
3910.0,451394.3522795254
3911.0,451394.3522823726
3912.0,451394.352283735
3913.0,451394.3522851109
3914.0,451394.35228607664
3915.0,451394.3522862086
3916.0,451394.3522858626
3917.0,451394.3522851923
3918.0,451394.35228432016
3919.0,451394.35228337446
3920.0,451394.35228247085
